"Reg No.";"Nick";"Display Name";"Website Reg";"Merchandise";"Attends Thu";"Attends Fri";"Attends Sat";"Allows Use of Data";"After Dark";"Short Description";"About the Artist";"About the Art";"Website";"Twitter";"Telegram";"Discord";"Tweet";"Art Preview Caption";"ThumbnailImg";"ArtistImg";"ArtImg";"Cat. Prints";"Cat. Artwork";"Cat. Fursuit";"Cat. Commissions";"Cat. Misc"
"82";"Mirri";"";"http://www.furaffinity.net/user/mirri/";"Commissions, prints, original artwork, mugs, pins and other small merchandise";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"83";"Loque";"DampfLoque";"https://dampfloque.carrd.co/";"Bound for Glory Collab Zine Vol. 1-3 / A5 to A3 pinup prints / Spicy Stickers and other kinds of merch / Sketch and Painting Commissions / Good Vibes";"X";"X";"X";"";"X";"The DampfLoque creates spicy imagery of the Furry kind. Likes tackling unusual Ideas and make ppl smile.";"";"";"https://dampfloque.carrd.co/";"DampfLoque";"";"DampfLoque#9726";"Steamy Anthro Animal Art by DampfLoque - Contactable at Telegram and Twitter via @DampfLoque !";"";"";"";"X";"";"";"";"";"X"
"84";"Konig";"Crow Party";"http://crow.party";"Prints, playmats, shirts, enamel pins";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"85";"Dai Kage";"Toastercat Comics";"https://www.pixiv.net/member.php?id=26102004";"Selling the worlds STRONGEST female furry wrestling comic  FFC -""Furry Fight Chronicles""! Also selling prints, original works (SFW & NSFW) and offering commissions!";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"86";"snofu";"Snofu";"https://snofu.carrd.co/";"Print Zines, Stickers, Sketch Commissions, Enamel Pins, Flags, Posters";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"87";"alby";"Alby Rabbit";"http://albinofruit.com";"Commissions, lanyards, stationery, enamel pins";"X";"X";"X";"";"";"My name is Alby! I am a bunny from the UK and I sell cute art and accessories!";"";"";"https://www.albys-space.com";"Albyrabbit";"";"Kay#1845";"Take a look at @albyrabbit’s cute art and store here - https://www.albys-space.com";"";"";"";"X";"";"";"";"";"X"
"89";"Enwy";"Fursonal Suits and creations";"http://fursonal-suits-and-creations.com";"Tshirts with original design, Charms, Premade fursuit parts, Premade fursuit partial, Stickers, Fursuit comissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"90";"inuki";"Inuki";"http://www.furaffinity.net/user/inuki/";"sketch commissions,acryl ware(standee,charms)poster prints,magazine,pins and more";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"91";"TaniDaReal";"TaniDaReal";"http://www.tanidareal.com";"Mood Badges, shirts, prints, sketches, beer coasters, magnets, buttons, portfolios, mugs, merchandise";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"92";"Nightfox";"BlackPaw Productions";"http://www.blackpaw.de";"Books, magazines, comics, merchandise";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"93";"Dragibuz";"";"https://www.furaffinity.net/gallery/dragibuz/";"Commissions on live (sketch & fullcolors promarkers), prints, pin's, magnets, buttons, charms, keychains";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"94";"pyritie";"Pyritie";"http://etsy.com/shop/pyritie";"acrylic charms and stands, plushies and DIY kits (i.e., cut out pieces ready to sew together), embroidery patches, plush fursuit props";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"95";"Dey Varah";"";"http://twitter.com/deyvarah";"prints, sketch commissions, stickers, pins, lanyards";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"96";"Remi";"iimokookie";"http://www.furaffinity.net/gallery/iimokookie/";"tote bags, tshirts, prints, badges/pins, keychains, stickers, comics, fanart, original art and commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"97";"Spinal22";"";"https://www.furaffinity.net/user/spinal22/";"Commissions, prints, badges, buttons, keychains, ect.";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"98";"Anupap Kasook";"Anupap Kasook";"https://www.furaffinity.net/user/anupap/";"Homemade erotic comic, poster, sketch and digital commissions";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"99";"MineDoo";"MineDoo";"https://twitter.com/MineDoo_ , http://www.furaffinity.net/user/minedoo/";"Prints, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"100";"Tabia Lioness";"Tabia Lioness";"http://furaffinity.net/user/tabia/   |   instagram.com/tabia.lio/";"Prints, stickers, magnets, bookmarks + sketch commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"101";"UmbreoNoctie";"";"https://www.instagram.com/umbreonoctie";"I'll propose live commissions (black and white, white pen on black paper, watercolor) and goodies like keychain, enamel pins, badges, stickers, small print, big print and framed painting.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"102";"kyrosh";"";"";"prints, small magazines, pins, stickers and trinkets as well as custom sketch commissions";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"103";"Mlice";"Mlice";"http://www.furaffinity.net/user/mlice/";"Traditional commission (portraits and conbadges watercoloured), prints, pins, buttons, keychains, patches, stickers";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"104";"Furryratchet";"Furryratchet";"https://www.furaffinity.net/user/furryratchet/";"T-shirts, artbooks, Buttons, prints, mugs, cans, magents";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"105";"Sambers";"FurniqueMerch";"https://furniquemerch.com/";"We sell furry related merchandise, such as lanyards, keychains, wristbands and more";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"106";"Vulniir";"Eurofurence Shop";"https://www.eurofurence.de/";"Official T-Shirts and Sponsor Services";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"107";"Paper";"La bête Nwar";"http://www.furaffinity.net/user/floo/";"Drawing and badges commissions, merch selling (prints, stickers, buttons badges, enamel pins, original art, bag, charms)";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"108";"Jukajo";"";"https://www.furaffinity.net/user/jukajo/";"I will be selling prints and other merchandise (like buttons, stickers, etc.) of my original artwork as well as onsite commissions.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"109";"AsbieArts";"AsbieArts";"https://www.furaffinity.net/user/asbellhant/";"Commissions, Prints and Dakimakuras, both safe and not safe for work";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"110";"Danero";"";"https://www.furaffinity.net/gallery/danero/ and https://twitter.com/randernsk";"A4/A3 prints, on-site commissions(watercolor, inks, sketches, and more), badge commissions, stickers, misc. merch";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"111";"tretron";"Dutchcollar";"http://www.dutchcollar.com";"Collars, bracelets, faux Fur, faux leather, Fursuits";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"112";"Shalinka";"Shalinka";"http://shalinka.net/";"Selling my art inspired by animals, nature and cultures from all over the world. I sell art prints, goodies, and original paintings. I will also work on badges commissions on the spot.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"113";"Tani the Lynx";"";"http://www.furaffinity.net/user/tanithelynx";"Hand drawn badges, on-site commissions, stickers, buttons, bookmarks, art prints and charms";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"114";"Orphen Sirius";"Orphen Sirius";"http://www.furaffinity.net/user/orphen-sirius/";"Prints,Babge comissions, stikers,";"X";"X";"X";"";"";"Hello to all! I am a furry artist and I really love to share my work with you. >w<";"";"";"http://www.furaffinity.net/user/orphen-sirius/";"https://twitter.com/orphensirius";"";"";"";"";"";"";"";"";"";"";"";"X"
"115";"Zita";"";"https://www.cheetagonzita.com/";"On site Sketch-Commissions, Prints, Bookmarks, Keychains, Sticker, Buttons";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"116";"Hanni the Liger";"Ligertier Plushmods";"https://twitter.com/plushmods";"Adult plushie modifications, sewing and stitching services, reparis";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"117";"OokamiKemono";"Ookami Kemono";"http://ookamikemono.weebly.com/";"Badges and illustration commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"118";"Nerventee";"";"https://www.deviantart.com/nerventee/gallery/";"Prints, Commissions (Badges, Sketches, Chibis), some Sewn handmade goods like lil plushies, fursuit props, bookmarks";"X";"X";"X";"";"";"My name is Nerventee, I am a 29 years old female animal artist from Germany. I draw mostly digital. I love canines, felines and horses! Come by and check my stuff! I offer sketches, Badges, Chibis and more!";"";"";"https://www.deviantart.com/nerventee/gallery/";"Nerventee";"";"Nerventee#1506";"Offering sketches, Badges, Chibis and more! Check out my stuff, dm me via Telegram @nerventee";"";"";"";"";"";"";"";"";"X"
"119";"Miles-DF";"Miles-DF";"https://twitter.com/miles_df";"Books, prints, commissions.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"120";"Tollwut";"";"https://www.amazon.de/Enyanische-Erkenntnis-Darnell-Tollwut-ebook/dp/B071GLJ5XQ/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Enyanische+erkenntnis&qid=1576843829&sr=8-1";"Bücher (Print sowie E-Book), Hörbuch und ggf. Poster und/oder Lesezeichen; Books (Print and E-Book), audiobook and possibly Poster and/or Bookmark";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"121";"Dktorzi";"Dktorzi";"https://inkbunny.net/DoctorZi";"Prints, Mousepads, T-shirts, Pillows, Books.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"122";"Rin the Dragon";"";"";"Custom and 100+ different pre-printed Badge Ribbons. Coffee likeur.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"123";"Yulynh";"Yulynh";"http://www.furaffinity.net/user/adlynh/";"Prints, engraved wood, keychains, paintings, badges commissions";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"124";"Nerumi";"Nerumi Plushies";"https://drive.google.com/open?id=1IYg5BU3lBxR7ncwXrZP6GBgWwBcGOthA";"Custom plushies, props, fursuit accesories and soon my own printed designed products (backpacks, pencil cases, bandanas)";"X";"X";"X";"";"";"I'm a plush artist originally from Argentina, but living in Czech Republic.

In my shop you will find lots of collars, plush props, bandanas, and more accessories!

I also make custom plushies, feel free to inquiry ♥";"";"";"https://www.etsy.com/shop/NerumiPlushies";"@pancakelulu";"";"Pancake Lulu#3069";"Plush props, collars, bandanas & more! /NerumiPlushies @ Etsy/FA/FB .Contact @pancakelulu on Telegram/Twitter for custom plush inquiries ♥";"";"";"";"X";"";"";"";"";"X"
"125";"Morg";"Morg";"http://www.naughtymorg.com";"Comics, Prints and Commissions!";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"126";"SpittyArtz";"";"https://www.deviantart.com/spittyartz";"badge commissions, custom painted figures made by me, buttons, prints, charms";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"127";"FreesTyler";"";"http://www.furaffinity.net/user/freestyler";"Art commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"128";"Swarthylacine";"Tapapat Creations";"https://tapapatcreations.com/";"OOAK fursuit premade(s), OOAK fursuit parts (handpaws, tails), fursuit accessories (balaclava, belts), character designs, badges";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"129";"V";"V-Art";"http://etsy.com/uk/shop/WerewolfVDesigns";"V-Art Clothing: Hats, T-Shirts, etc.";"X";"X";"X";"";"";"Hello! I'm V, based in the UK I run V-Art which is an online Furry apparel and merch store. :D";"";"";"http://etsy.com/uk/shop/WerewolfVDesigns";"@Werewolf_V";"";"";"Furry apparel! With free worldwide shipping!";"";"";"";"X";"";"";"";"";"X"
"130";"Faolan";"Faolan";"http://www.blackwolfjewellery.nl";"gemstone jewellery: pendants, earrings, necklaces, and single sample rocks.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"131";"Yulliandress";"Yulliandress";"http://www.furaffinity.net/user/yulliandress/";"books, prints, commissions.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"132";"Kael";"Kael Tiger";"http://www.furaffinity.net/user/kaeltiger/";"Acrylic Standees, badges, prints, comics, gaming cards, lanyards, shirts, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"133";"drangir";"";"https://www.furaffinity.net/user/ikar/";"Commissions on site, prints, art related gadgets/accessories";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"134";"Licantrox";"Rogue Fang";"http://Roguefang.com";"Furry apparel, drawings and merch.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"135";"Keidran";"";"";"Mugs, Cotton shopping bags, Sticker, Buttons and T-Shirts";"X";"X";"X";"";"";"I work together with several artists to bring you cute art on cotton bags, acrylic charms and other things!";"";"";"https://www.etsy.com/shop/TheAbyssShop";"@TheAbyssShop";"";"Katojana#9183";"Cute acrylic charms, stickers and more of cute animals!";"";"";"";"X";"";"";"";"";"X"
"136";"Red-IzaK";"Red-IzaK";"https://www.furaffinity.net/user/red-izak/";"prints, canvas prints, wall scrolls, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"137";"baLOrKIn";"";"https://www.furaffinity.net/user/balorkin/";"Pride merch, Buttons, charms, pins, art prints & mouse mats";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"138";"zmprl";"Naughty Wolf";"https://www.naughtywolftoys.com";"Naughty toys, paddles, dildos etc";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"139";"whire";"Made by Whire";"https://www.madebywhire.com/";"Patches, Plushies, Fursuit Supplies";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"140";"Imanika";"Imanika";"https://www.furaffinity.net/user/imanika/";"Prints, postcards, keychains, plush tails, ears, small plush toys, hand made stuff, artbooks, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"141";"Winters Howling";"Winters Howling";"https://www.wintershowling.com/";"Fursuit Partials, Fursuit Commissions, Props, Fursuit Accessories, Fursuit Sprays";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"142";"Berneri";"Berneri";"https://twitter.com/BerneriART/media and https://twitter.com/koirakoirana";"Charms, enamel pins, cards, lanyards, magnets, stickers, commissions";"X";"X";"X";"";"";"Bern here! I'm Finnish media content designer and artist. I inhale my inspiration for my art from nature, creatures and animals. I love to play with colors and different kind of shapes and patterns. These things can be seen in my home as well in a form of a miniature jungle (I love plants too much), two cats, aquarium and some pet beetles.";"";"";"http://berneri.storenvy.com/";"@BerneriART";"";"Berneri#6969";"Creatures, nature themes and unique art with plenty of styles! You can contact me via Telegram @Berneri or Twitter @BerneriART";"";"";"";"X";"";"";"";"";"X"
"143";"Sekares Arisawa";"Sekares Arisawa";"https://www.deviantart.com/sekares-arisawa";"prints, shirts, badge commissions, pins and buttons";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"144";"Animas Animus";"";"https://mobile.twitter.com/animas_animus";"Prints different sizes, small goods like mugs mousepads sticker, commissions";"X";"X";"X";"";"X";;;;;;;;;;;;;;;;;
"145";"RaptorsDen";"Raptors Den";"https://www.etsy.com/shop/TheRaptorsShop";"Fursuit Parts, Fursuit commissions, Art Sell, badge, prints,";"X";"X";"X";"";"";"Working with cosplay crafting, fursuit making, art doll making.
Not long ago we developed a new way of creating Vader-San's synth species
as a new type of cosplay/suit, synthsuit, dunno if this is the right word
though :D
If you interested we made a video on youtube from the first mini partial;
https://www.youtube.com/watch?v=xextOTlmIi8";"";"";"https://www.facebook.com/RaptorsDenSculpts";"https://twitter.com/RaptorsDen";"";"Arthenion#9672";"Synth suits, Fursuits, Artdolls - twitter.com/RaptorsDen";"";"";"";"X";"";"";"";"";"X"
"146";"Merion";"Merionic";"http://www.instagram.com/merionicfigures/";"One-of-a-kind sculptures, resin figurines, original drawings";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"147";"WhiteLeonard";"WhiteLeonard";"https://twitter.com/snowrealm https://www.furaffinity.net/user/whiteleonard";"Commission artwork, T-shirts, merchandise, posters, art-books and comics";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"149";"RedCoatCat";"RedCoatCat";"http://www.furaffinity.net/user/redcoatcat/";"Anthro Comics both PG and adult rated.  Limited /unlimited Prints both loose and matted in two different sizes. Magnets, stickers, lanyards, coasters, card decks, heraldry themed species badges and mugs.  I have two sizes of commissions I offer at conventions only finished at the con.  Here is a link to my display last year I have more products available now. http://redcoatcat.com/stuff/ef2019.jpg";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"150";"Kiko";"Kikonine";"https://twitter.com/KikonineArt";"Prints, Stickers, Lanyards/Wristbands, Commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"151";"Mystifur";"Mystic-Creatures";"http://Mystic-Creatures.com";"Fursuits and Parts, Undersuits, Fursuit Accessoires, Live Sewing";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"152";"niku30";"Niku30";"https://www.artstation.com/niku30 , https://www.instagram.com/Niku30__/ (good example of anthro artwork)";"Undecided. Prints perhaps, digital commissions, keychains, can draw human and anthro";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"153";"camaro cougar";"CandyPaws";"http://candypaws.webs.com";"Fursuit Sprays";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"154";"Renn";"Renn";"http://beasthorizon.com";"Custom fursuits, 3D printed bases and parts, 3D printed skulls, T-shirts, stickers.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"155";"Alastair Wildifre";"Alastair Wildfire";"https://www.alastairwildfire.com/illustration.html";"Originals, commissions, prints, batches, stickers, pins, buttons.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"156";"Franko";"Franko's Artshop";"http://www.furaffinity.net/user/negger";"Prints, Franko graphic novels, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"157";"ShinigamiGirl";"";"https://www.furaffinity.net/user/shinigamigirl/";"at con commissions, loose and matted prints, enamel pins, acrylic charms, vinyl stickers";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"158";"mag";"mag ferret";"http://twitter.com/magferret";"shirts, hats, stickers, buttons, prints and commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"159";"Fox Amoore";"Fox Amoore";"";"CDs and LPs";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"160";"AlectorFencer";"AlectorFencer";"http://www.yriachronicles.com";"Books, Prints";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"161";"kenket";"kenket";"https://twitter.com/tessgarman";"Art prints, posters, originals, sketchbooks, stickers, keychains, STUFF and THINGS.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"162";"wylfi";"";"https://www.instagram.com/wylfi/";"prints, comics, pins, keychains, stickers, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"164";"xtorbenx";"Artworktee";"http://www.furaffinity.net/user/fur-n-prints/ http://artworktee.com";"A wide Variety of Sublimation Printed, Textile, Metal,glass and ceramic, Merch. Tshirts and mystery boxes";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
